timestamp_ns,orders_produced,orders_consumed,orders_dropped,buffer_size,buffer_capacity,throughput_ops_per_sec,avg_latency_ns,p95_latency_ns,p99_latency_ns,network_errors,batch_count
1753047246362588928,3002,2979,4,929,1024,8980.622042442386,355099.74289581354,764088.6955021255,1069363.06004808,2,116
1753047247467651072,6398,6325,5,622,1024,9502.623843195344,216657.34764466484,423080.11501549225,661186.0790425397,1,216
1753047248569158912,9319,9243,1,221,1024,11460.472102726393,171552.82264279277,290727.7714890966,577005.2975883695,3,318
1753047249669784064,11485,11401,6,110,1024,10925.970422246099,466123.55329046043,938631.324691071,1399789.9409617775,0,392
1753047250774844928,12588,12502,10,732,1024,8993.329518620823,301952.6431859446,702027.2515933284,815496.9884671998,4,497
1753047251874894080,14797,14686,5,24,1024,10487.883243814276,276697.816789335,515925.6502214157,834313.705254153,4,637
1753047252976288000,17373,17253,4,552,1024,11606.818873097072,305040.7018621138,662648.4842955545,1010342.0180916494,1,779
1753047254078247936,21396,21233,8,625,1024,9825.650721667427,166596.7887525321,353423.06535378355,440252.3113310076,3,951
1753047255178471936,22655,22446,2,947,1024,10405.194527413867,383973.670273357,642512.7441114329,1222720.7484780587,4,1150
1753047256282131968,24559,24338,3,229,1024,8423.946919999114,162409.82713744155,378470.0163332493,540776.1606048547,0,1261
1753047257387192064,25925,25664,0,699,1024,9587.245137489168,167507.64975503774,323767.30798292207,626379.572736795,4,1447
1753047258490139904,30773,30487,2,529,1024,9329.0053642746,291500.37891467,531846.4274824547,956116.1798168534,5,1613
1753047259590209024,34396,34092,6,726,1024,10322.797762709388,365880.9202009208,665293.9776579473,1086565.1215931796,3,1811
1753047260695254016,38715,38398,9,753,1024,10668.644814286788,213286.34575317436,380814.3211822001,742605.9850512852,0,1953
1753047261797338880,40565,40248,5,197,1024,10857.918069114243,161991.85752780308,391084.8208603286,410306.9041693155,0,2060
1753047262897658112,43225,42873,6,234,1024,9339.819031166991,437224.8767174595,782351.5524401825,1396796.9237161914,3,2248
1753047263998362880,44774,44419,3,192,1024,8642.831372572828,352034.2354478036,760563.2577108918,1060851.8259144374,5,2305
1753047265099482880,45889,45523,0,259,1024,10007.244315898664,346220.3780629607,598903.5641825352,1065059.2345796216,5,2356
1753047266203251968,47634,47235,5,635,1024,10217.736680613167,179267.44475776673,284567.6077877642,502190.8988938091,1,2553
1753047267307237888,51828,51428,1,170,1024,8261.366956984408,262054.9596399611,570064.0457432059,783748.2274000718,4,2746
1753047268409850112,56195,55793,1,413,1024,9165.01357860693,147296.26518872348,309081.2970749279,395721.8531978184,2,2928
1753047269514904064,57645,57213,7,119,1024,8194.95443783287,390134.6956742133,607025.508180652,1285585.7661601622,4,3055
1753047270619159040,59358,58921,10,211,1024,8180.320086241208,104591.55140080268,232398.8045649051,345964.88487658004,3,3143
1753047271723580928,63171,62727,7,716,1024,9029.760109845356,446823.1899096149,1044434.6768831224,1194616.6729644286,2,3196
1753047272827750912,64749,64279,0,617,1024,10870.20434844799,353123.1833578011,675352.0577432383,1392987.8826614069,1,3305
1753047273929596928,68330,67840,0,953,1024,9004.509221672675,297769.39359570126,469636.7580298479,862595.2754589593,3,3503
1753047275031664896,72014,71479,1,840,1024,11967.023891422541,231376.293663536,394778.04773010965,847425.4030865987,0,3678
1753047276136716032,73696,73144,1,970,1024,10735.892010264839,453996.85734791803,779272.2761386381,1295446.69887632,1,3800
1753047277238219008,75170,74598,2,641,1024,10210.59469911238,298853.4729962729,583751.3086783254,1098996.1923153251,2,3951
1753047278342075904,79233,78636,3,846,1024,9548.998839951939,134723.4220699045,254351.0223507229,471172.48923625785,0,4058
1753047279444400128,82100,81492,10,897,1024,10579.224149278678,168714.26295126337,339836.52960656455,633552.3044475133,0,4185
1753047280544480000,86022,85377,1,781,1024,8682.512177627696,188109.65624297253,287428.39526686515,636765.0194213376,4,4368
1753047281647361024,87977,87310,5,943,1024,11196.638696599897,105257.16636843715,246296.71387458764,345337.95928368904,5,4506
1753047282750906112,92189,91477,7,845,1024,9727.82701744214,199181.7423496839,493904.67030407075,554606.3738823736,1,4643
1753047283856003072,93217,92471,8,813,1024,11394.6501402346,355044.6772040848,666112.8380187354,947148.6417789061,0,4814
1753047284956320000,95035,94280,7,429,1024,10035.782327706247,159067.6533822458,295627.8560054845,567960.0158759113,3,4897
1753047286057624064,99481,98717,3,168,1024,9266.87157563318,390457.65497855516,895731.9384698973,1020492.3464083985,1,5047
1753047287158041088,103673,102908,10,114,1024,9687.343986531841,476194.7309366364,1065429.5752762053,1437411.5090742924,5,5141
1753047288258145024,106696,105896,1,1005,1024,9913.979577949518,489767.07144752535,798186.9934236492,1427391.8750136164,0,5308
1753047289358298112,109709,108905,9,341,1024,10243.861908088615,427647.9022795425,1010757.1208969239,1142343.3119261153,2,5405
1753047290458385920,113779,112948,2,110,1024,9040.356371813052,226592.01948608438,511354.2997316594,883397.3110143105,4,5474
1753047291562379008,117725,116880,7,436,1024,9229.830897044818,479415.25555900345,1189633.4682015101,1407549.6976316075,1,5632
1753047292662465024,121588,120730,3,952,1024,8970.455551759782,461577.9824711454,773470.4600124947,1657730.8350133433,0,5797
1753047293762535936,123441,122556,1,1002,1024,8087.2071463691045,349237.0424130281,848888.0971858301,944076.4599867343,5,5937
1753047294863388928,128109,127191,2,271,1024,11238.379162865142,342167.86850602645,824045.9609750482,897661.6895576083,2,6069
1753047295963896064,131319,130396,6,438,1024,10837.685782361825,467016.4593908974,912521.078936831,1660777.3443639379,3,6257
1753047297068998912,132607,131651,4,192,1024,10192.13697372476,330715.94264947576,771735.1955624131,1129747.3069577406,4,6369
1753047298170085888,135377,134399,1,723,1024,9661.950820461456,323316.0421191463,603786.9726267768,1052537.2160882598,1,6452
