timestamp_ns,orders_produced,orders_consumed,orders_dropped,buffer_size,buffer_capacity,throughput_ops_per_sec,avg_latency_ns,p95_latency_ns,p99_latency_ns,network_errors,batch_count
1753045057422138112,3892,3846,9,80,1024,10799.55809850644,468784.0851884429,973816.4154024926,1398182.2556360303,4,80
1753045058525682944,6435,6339,9,768,1024,11552.312435808395,252096.49355674957,431536.8160899415,888717.9808528089,1,157
1753045059630816000,10160,10043,7,980,1024,10498.010309964999,325516.6034858591,491167.3375668516,876195.6701116005,4,265
1753045060735907072,11764,11632,6,376,1024,8114.999992927504,405907.75469195057,718471.5294502899,1086422.2029569342,1,345
1753045061840434944,16455,16321,2,991,1024,8282.761741666402,268416.26848854776,407712.9916337958,904154.6887496142,5,543
1753045062945537024,17761,17589,8,482,1024,8728.911131758052,342644.50748050027,551069.2642523594,1318638.7111053825,4,709
1753045064047374080,19976,19804,7,108,1024,10497.979235226157,318394.8833544932,670489.0830043524,1131374.1617580133,3,789
1753045065152435968,22996,22787,8,110,1024,8599.022184538659,118071.35064439382,225957.07270415642,461631.03383353597,2,915
1753045066257487872,26183,25939,9,985,1024,9149.52825774272,365333.3212180192,697650.9123590015,1435726.8100980937,0,1080
1753045067358988032,29039,28764,0,77,1024,10999.937735661815,227805.66794188018,531641.8037445317,891357.8618565327,4,1178
1753045068463047936,33456,33143,0,199,1024,8159.805244483024,234041.65024690874,395945.5206556217,655774.0313275711,2,1258
1753045069566288896,36854,36518,6,715,1024,8374.646408475457,366443.50259880326,877674.2008577145,991212.8204026292,3,1436
1753045070669460992,38236,37873,1,191,1024,10356.777155623651,308760.90255292074,682860.8837194941,789254.8739588682,1,1568
1753045071770633984,43167,42799,5,229,1024,8772.12519021576,499496.83743874915,1238371.1515231647,1700883.378910003,5,1673
1753045072871310080,46697,46285,8,521,1024,10604.319734206092,451273.7563958587,711145.1470126874,1234794.8007038592,2,1830
1753045073972017920,50442,50026,4,927,1024,10153.742429036156,233176.65962600202,394742.74247564934,679918.8466611957,4,1929
1753045075077126912,54511,54049,1,300,1024,9120.66950176428,140509.88884769194,218270.33775154842,481741.9800562681,4,2073
1753045076181618944,58140,57649,2,67,1024,11639.395176178708,476240.0587557337,1078040.1197296376,1462474.9784080416,4,2146
1753045077285240064,60049,59537,5,678,1024,9851.567956200768,124720.92541670619,254941.99557165094,455642.40460181463,0,2259
1753045078390398976,63229,62703,3,74,1024,11347.245910850284,479178.1817730165,734192.8550884234,1475007.4764047149,5,2364
1753045079491368960,66501,65944,5,532,1024,9490.732604167595,402013.524937363,910283.1727008286,1276862.2815556778,1,2538
1753045080594269952,68966,68375,9,750,1024,8683.30954389403,389855.6744296221,739682.6460666904,1359321.8874683275,0,2738
1753045081699632128,71046,70455,9,686,1024,9320.834129243343,404357.5536896222,678015.0836431341,1290453.5665431493,2,2901
1753045082804165120,73194,72560,1,337,1024,8455.532111222474,441732.01371293206,1026693.6199418049,1409363.612438573,5,2977
1753045083907614976,74758,74090,6,949,1024,10489.31926490101,337852.8121855242,658593.6182897193,959424.6758652221,1,3144
1753045085012711936,77113,76419,0,630,1024,8834.846368886847,445263.17958392075,1065193.4750515125,1686412.5084225738,2,3337
1753045086113292032,79415,78696,3,707,1024,11803.881104081498,354279.8830413431,746404.9350167667,1298268.0968188515,0,3417
1753045087218379008,82579,81851,6,846,1024,10701.51893671244,277807.68626864126,684371.9733290183,887477.1737703305,4,3549
1753045088323502080,85380,84638,1,366,1024,11828.30227890128,330393.74217087124,539500.5913909974,1214094.7569390775,2,3661
1753045089428642048,87564,86802,2,698,1024,10337.245277422207,419160.1705679181,934141.1449832127,1246285.4431173794,4,3734
1753045090533760000,88798,88011,9,133,1024,11233.007443769846,252372.23237397557,537619.4952805048,749870.3265341853,2,3813
1753045091638876928,92417,91599,3,833,1024,9687.28706673891,192931.10897633884,456499.0538272076,500600.5551417259,3,3863
1753045092740410112,93636,92800,8,834,1024,9523.232697672975,165886.50363432255,340931.6826129304,581471.2210293439,2,3952
1753045093845308928,98097,97253,4,561,1024,8173.733011100729,147224.7736126099,317991.8266120358,466739.10466318286,1,4121
1753045094945730048,102758,101902,1,992,1024,8283.364121997618,471733.742939336,963716.6026996801,1277661.907654829,0,4192
1753045096047742976,107459,106561,0,391,1024,9967.843964317683,268408.2337962645,404465.61365054466,998864.6114950728,2,4246
1753045097152875008,108766,107831,5,853,1024,8845.862410609427,367881.3655276869,911781.1798800762,964090.4096434473,2,4416
1753045098258064896,112325,111388,1,244,1024,9539.191476029177,262286.9086501057,538825.0325577625,958042.921972526,2,4480
1753045099360713984,115427,114471,8,1005,1024,9316.706251542575,156802.99717267192,351025.4158291277,553403.4729584393,0,4675
1753045100466040064,118462,117485,5,759,1024,8633.295449657118,393811.6946660682,675887.8413706844,1253630.0210213296,2,4815
1753045101572709120,119604,118586,9,13,1024,8669.23994546127,241111.54220109968,431958.3531515609,820695.7229308136,2,4912
1753045102677859072,121345,120313,8,633,1024,11560.428270946899,373794.10567702196,851121.2616046873,1381076.1265107237,5,5029
1753045103783059968,124849,123776,3,482,1024,10342.721461629226,171552.58006699337,360686.8913949863,632760.8099936693,2,5124
